InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
551693,23004,TRAVEL CARD WALLET PANTRY,24,5/3/2011 13:36,0.42,15582.0,United Kingdom
575903,23355,HOT WATER BOTTLE KEEP CALM,4,11/11/2011 15:24,4.95,13557.0,United Kingdom
567306,22569,FELTCRAFT CUSHION BUTTERFLY,24,9/19/2011 13:32,3.39,12752.0,Norway
561862,84818,DANISH ROSE PHOTO FRAME,24,7/31/2011 10:38,0.79,15569.0,United Kingdom
566319,22768,FAMILY PHOTO FRAME CORNICE,2,9/12/2011 11:25,9.95,13431.0,United Kingdom
536423,21485,RETROSPOT HEART HOT WATER BOTTLE,8,12/1/2010 12:08,4.95,18085.0,United Kingdom
568193,22660,DOORMAT I LOVE LONDON,10,9/25/2011 14:37,7.08,17107.0,United Kingdom
555942,23091,ZINC HERB GARDEN CONTAINER,3,6/8/2011 10:14,6.25,15743.0,United Kingdom
553420,47590A,BLUE HAPPY BIRTHDAY BUNTING,3,5/17/2011 10:14,5.45,17519.0,United Kingdom
542888,22666,RECIPE BOX PANTRY YELLOW DESIGN,6,2/1/2011 13:15,2.95,15687.0,United Kingdom
564330,79302M,"ART LIGHTS,FUNK MONKEY",1,8/24/2011 13:57,2.95,13411.0,United Kingdom
576784,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,6,11/16/2011 13:40,1.45,16204.0,United Kingdom
554993,20718,RED RETROSPOT SHOPPER BAG,5,5/29/2011 14:13,1.25,17051.0,United Kingdom
541596,22241,GARLAND WOODEN HAPPY EASTER,4,1/19/2011 16:18,1.25,17602.0,United Kingdom
548212,21668,RED STRIPE CERAMIC DRAWER KNOB,12,3/30/2011 9:12,1.25,12456.0,Switzerland
569133,22339,CHRISTMAS TREE PAINTED ZINC ,96,9/30/2011 14:06,0.19,15185.0,United Kingdom
567976,23077,DOUGHNUT LIP GLOSS ,20,9/23/2011 10:26,1.25,13127.0,United Kingdom
574228,22558,CLOTHES PEGS RETROSPOT PACK 24 ,12,11/3/2011 12:18,1.65,16678.0,United Kingdom
568075,23239,SET OF 4 KNICK KNACK TINS POPPIES,1,9/23/2011 14:21,4.15,14652.0,United Kingdom
576611,21638,ASSORTED TUTTI FRUTTI NOTEBOOK,2,11/15/2011 16:29,2.1,17357.0,United Kingdom
C577394,23493,VINTAGE DOILY TRAVEL SEWING KIT,-1,11/18/2011 17:09,1.95,14902.0,United Kingdom
541252,85123A,WHITE HANGING HEART T-LIGHT HOLDER,20,1/16/2011 13:41,2.95,13064.0,United Kingdom
570492,23203,JUMBO BAG VINTAGE DOILY ,10,10/11/2011 8:23,2.08,14194.0,United Kingdom
558315,22150,3 STRIPEY MICE FELTCRAFT,6,6/28/2011 11:44,1.95,15065.0,United Kingdom
575905,21703,BAG 125g SWIRLY MARBLES,12,11/11/2011 15:49,0.42,13732.0,United Kingdom
556926,70007,HI TEC ALPINE HAND WARMER,2,6/15/2011 14:26,1.65,16324.0,United Kingdom
538714,22969,HOMEMADE JAM SCENTED CANDLES,12,12/14/2010 11:01,1.45,14524.0,United Kingdom
555856,21754,HOME BUILDING BLOCK WORD,3,6/7/2011 14:02,5.95,17124.0,United Kingdom
563854,23298,SPOTTY BUNTING,3,8/19/2011 15:24,4.95,12364.0,Belgium
547037,22900, SET 2 TEA TOWELS I LOVE LONDON ,100,3/20/2011 10:37,2.55,14101.0,United Kingdom
536376,22114,HOT WATER BOTTLE TEA AND SYMPATHY,48,12/1/2010 9:32,3.45,15291.0,United Kingdom
569133,22609,PENS ASSORTED SPACEBALL,36,9/30/2011 14:06,0.19,15185.0,United Kingdom
572653,85049C,ROMANTIC PINKS RIBBONS ,2,10/25/2011 12:12,1.25,15861.0,United Kingdom
557794,16259,PIECE OF CAMO STATIONERY SET,216,6/23/2011 9:08,0.08,16287.0,United Kingdom
C580954,22276,WASH BAG VINTAGE ROSE PAISLEY,-6,12/6/2011 14:19,2.55,12967.0,United Kingdom
578996,20975,12 PENCILS SMALL TUBE RED RETROSPOT,12,11/27/2011 16:02,0.65,13991.0,United Kingdom
578511,22924,FRIDGE MAGNETS LA VIE EN ROSE,6,11/24/2011 13:27,0.85,17975.0,United Kingdom
579990,23037,CANDLE HOLDER SILVER MADELINE,12,12/1/2011 11:20,1.65,14804.0,United Kingdom
571557,23399,HOME SWEET HOME HANGING HEART,24,10/18/2011 9:25,0.85,15678.0,United Kingdom
544646,22558,CLOTHES PEGS RETROSPOT PACK 24 ,6,2/22/2011 12:06,1.49,17075.0,United Kingdom
550802,22383,LUNCH BAG SUKI DESIGN ,10,4/20/2011 15:21,1.65,17120.0,United Kingdom
552508,22998,TRAVEL CARD WALLET KEEP CALM,2,5/9/2011 16:27,0.83,,United Kingdom
544969,48185,DOORMAT FAIRY CAKE,2,2/25/2011 11:32,7.95,15712.0,United Kingdom
551693,23230,WRAP ALPHABET DESIGN,25,5/3/2011 13:36,0.42,15582.0,United Kingdom
557523,47599A,PINK PARTY BAGS,12,6/21/2011 8:27,2.1,12971.0,United Kingdom
546681,22727,ALARM CLOCK BAKELIKE RED ,4,3/16/2011 8:29,3.75,16297.0,United Kingdom
566076,23240,SET OF 4 KNICK KNACK TINS DOILY ,6,9/9/2011 9:13,4.15,12449.0,Belgium
546396,22768,FAMILY PHOTO FRAME CORNICE,1,3/11/2011 14:35,9.95,13226.0,United Kingdom
541406,35922,EASTER BUNNY WREATH,1,1/17/2011 15:19,4.95,14657.0,United Kingdom
542535,21055,TOOL BOX SOFT TOY ,5,1/28/2011 13:37,8.95,12735.0,France
546632,84978,HANGING HEART JAR T-LIGHT HOLDER,72,3/15/2011 12:05,1.06,17080.0,United Kingdom
578086,23311,VINTAGE CHRISTMAS STOCKING ,6,11/22/2011 16:43,2.55,17519.0,United Kingdom
575914,22632,HAND WARMER RED RETROSPOT,24,11/11/2011 16:31,2.1,17071.0,United Kingdom
569479,23130,MISTLETOE HEART WREATH GREEN,24,10/4/2011 12:41,4.15,13408.0,United Kingdom
545232,85206A,CREAM FELT EASTER EGG BASKET,6,3/1/2011 10:19,1.65,15676.0,United Kingdom
559629,21174,POTTERING IN THE SHED METAL SIGN,5,7/11/2011 11:58,2.08,14690.0,United Kingdom
563257,22516,CHILDS GARDEN RAKE BLUE,6,8/15/2011 12:07,2.1,13799.0,United Kingdom
550274,16237,SLEEPING CAT ERASERS,30,4/15/2011 12:23,0.21,15498.0,United Kingdom
551088,84946,ANTIQUE SILVER T-LIGHT GLASS,12,4/26/2011 12:31,1.25,14640.0,United Kingdom
573415,23355,HOT WATER BOTTLE KEEP CALM,2,10/30/2011 16:17,4.95,13607.0,United Kingdom
549560,21034,REX CASH+CARRY JUMBO SHOPPER,1,4/10/2011 13:26,0.95,15058.0,United Kingdom
565451,22625,RED KITCHEN SCALES,2,9/4/2011 15:37,8.5,15365.0,United Kingdom
556128,23165,LARGE CERAMIC TOP STORAGE JAR,12,6/9/2011 10:31,1.65,13038.0,United Kingdom
569897,22083,PAPER CHAIN KIT RETROSPOT,1,10/6/2011 16:01,2.95,17813.0,United Kingdom
566972,48187,DOORMAT NEW ENGLAND,2,9/16/2011 9:13,8.25,16573.0,United Kingdom
574892,23034,DRAWER KNOB CERAMIC BLACK,18,11/7/2011 14:40,1.45,14700.0,United Kingdom
561632,22509,SEWING BOX RETROSPOT DESIGN ,1,7/28/2011 14:30,16.95,15639.0,United Kingdom
549976,21578,WOODLAND DESIGN  COTTON TOTE BAG,6,4/13/2011 14:39,2.25,15855.0,United Kingdom
541112,22523,CHILDS GARDEN FORK PINK,12,1/13/2011 15:17,0.85,18085.0,United Kingdom
575299,23300,GARDENERS KNEELING PAD CUP OF TEA ,12,11/9/2011 12:30,1.65,14691.0,United Kingdom
554707,21136,PAINTED METAL PEARS ASSORTED,64,5/26/2011 10:15,1.69,14101.0,United Kingdom
573122,21380,WOODEN HAPPY BIRTHDAY GARLAND,2,10/27/2011 16:23,2.95,14357.0,United Kingdom
544306,22745,POPPY'S PLAYHOUSE BEDROOM ,6,2/17/2011 13:57,2.1,13085.0,United Kingdom
574262,22620,4 TRADITIONAL SPINNING TOPS,12,11/3/2011 14:05,1.45,13721.0,United Kingdom
561605,21213,PACK OF 72 SKULL CAKE CASES,24,7/28/2011 12:09,0.55,13925.0,United Kingdom
562452,23300,GARDENERS KNEELING PAD CUP OF TEA ,12,8/5/2011 9:44,1.65,16302.0,United Kingdom
579148,22750,FELTCRAFT PRINCESS LOLA DOLL,3,11/28/2011 13:20,3.75,17523.0,United Kingdom
566904,22158,3 HEARTS HANGING DECORATION RUSTIC,16,9/15/2011 13:57,2.95,15660.0,United Kingdom
560891,21992,VINTAGE PAISLEY STATIONERY SET,12,7/21/2011 17:02,1.25,15106.0,United Kingdom
550504,22305,COFFEE MUG PINK PAISLEY DESIGN,6,4/18/2011 15:43,2.55,16654.0,United Kingdom
576611,21811,HANGING HEART WITH BELL,6,11/15/2011 16:29,0.39,17357.0,United Kingdom
C572916,22360,GLASS JAR ENGLISH CONFECTIONERY,-12,10/26/2011 16:29,2.55,16325.0,United Kingdom
565430,16258A,SWIRLY CIRCULAR RUBBERS IN BAG,4,9/4/2011 13:07,0.42,14335.0,Germany
547623,82552,WASHROOM METAL SIGN,12,3/24/2011 11:29,1.45,15641.0,United Kingdom
578854,23552,BICYCLE PUNCTURE REPAIR KIT ,12,11/27/2011 11:15,2.08,14859.0,United Kingdom
543523,22911,PAPER CHAIN KIT LONDON,6,2/9/2011 12:07,2.95,12971.0,United Kingdom
553204,22920,HERB MARKER BASIL,1,5/15/2011 16:13,0.65,16877.0,United Kingdom
554306,23208,LUNCH BAG VINTAGE LEAF DESIGN,10,5/23/2011 14:59,1.65,15734.0,United Kingdom
540402,22511,RETROSPOT BABUSHKA DOORSTOP,8,1/7/2011 9:31,1.25,16567.0,United Kingdom
562313,23321,SMALL WHITE HEART OF WICKER,24,8/4/2011 11:38,1.65,14640.0,United Kingdom
547924,22857,ASSORTED EASTER GIFT TAGS,12,3/28/2011 13:39,0.85,17749.0,United Kingdom
574707,21787,RAIN PONCHO RETROSPOT,2,11/6/2011 14:08,0.85,17107.0,United Kingdom
536404,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,12,12/1/2010 11:29,1.25,16218.0,United Kingdom
575911,22576,SWALLOW WOODEN CHRISTMAS DECORATION,12,11/11/2011 16:13,0.85,17314.0,United Kingdom
550461,48185,DOORMAT FAIRY CAKE,670,4/18/2011 13:20,6.35,15749.0,United Kingdom
C541499,84819,DANISH ROSE ROUND SEWING BOX,-1,1/18/2011 15:23,4.25,13693.0,United Kingdom
562894,21086,SET/6 RED SPOTTY PAPER CUPS,12,8/10/2011 12:35,0.65,12571.0,France
577228,22804,PINK HANGING HEART T-LIGHT HOLDER,6,11/18/2011 12:07,2.95,12391.0,Cyprus
566398,23200,JUMBO BAG PEARS,10,9/12/2011 13:10,2.08,12884.0,United Kingdom
557782,22423,REGENCY CAKESTAND 3 TIER,4,6/22/2011 15:41,12.75,14640.0,United Kingdom
554935,22907,PACK OF 20 NAPKINS PANTRY DESIGN,12,5/27/2011 13:30,0.85,14338.0,United Kingdom
573769,23570,TRADITIONAL PICK UP STICKS GAME ,12,11/1/2011 10:04,1.25,13292.0,United Kingdom
C563433,21874,GIN AND TONIC MUG,-1,8/16/2011 12:14,1.25,16033.0,United Kingdom
552032,23040,PAPER LANTERN 9 POINT SNOW STAR,3,5/5/2011 18:16,5.75,14393.0,United Kingdom
567111,23157,SET OF 6 NATIVITY MAGNETS ,12,9/16/2011 13:37,2.08,17663.0,United Kingdom
574011,23691,KEEP CALM BIRTHDAY WRAP,25,11/2/2011 11:52,0.42,16884.0,United Kingdom
570724,23517,EMBROIDERED RIBBON REEL REBECCA ,6,10/12/2011 11:22,2.89,12602.0,France
549125,85198,ASSORTED FARMYARD ANIMALS IN BUCKET,12,4/6/2011 14:13,0.85,14964.0,United Kingdom
553752,72741,GRAND CHOCOLATECANDLE,9,5/19/2011 10:20,1.45,14896.0,United Kingdom
536563,22941,CHRISTMAS LIGHTS 10 REINDEER,1,12/1/2010 15:08,8.5,17760.0,United Kingdom
544582,21891,TRADITIONAL WOODEN SKIPPING ROPE,12,2/21/2011 14:38,1.25,13410.0,United Kingdom
566913,72586,SET OF 6 HALLOWEEN GHOST T-LIGHTS,24,9/15/2011 14:07,0.42,17602.0,United Kingdom
565410,21918,SET 12 KIDS COLOUR  CHALK STICKS,24,9/4/2011 11:17,0.42,14691.0,United Kingdom
548370,21389,IVORY HANGING DECORATION  BIRD,1,3/30/2011 16:14,0.85,15528.0,United Kingdom
575849,22252,BIRDCAGE DECORATION TEALIGHT HOLDER,24,11/11/2011 12:11,1.25,14790.0,United Kingdom
572872,22621,TRADITIONAL KNITTING NANCY,2,10/26/2011 13:27,1.65,15320.0,United Kingdom
553781,48194,DOORMAT HEARTS,4,5/19/2011 10:54,7.95,16008.0,United Kingdom
558094,48111,DOORMAT 3 SMILEY CATS,3,6/26/2011 13:04,7.95,14795.0,United Kingdom
572720,21638,ASSORTED TUTTI FRUTTI NOTEBOOK,6,10/25/2011 15:04,2.1,13978.0,United Kingdom
554306,23080,RED METAL BOX TOP SECRET,4,5/23/2011 14:59,8.25,15734.0,United Kingdom
575760,22093,MOTORING TISSUE BOX,2,11/11/2011 10:50,0.39,15965.0,United Kingdom
542240,84978,HANGING HEART JAR T-LIGHT HOLDER,12,1/26/2011 14:45,1.25,16124.0,United Kingdom
538826,21027,NINJA RABBIT PINK,10,12/14/2010 12:58,1.25,12370.0,Cyprus
543094,22908,PACK OF 20 NAPKINS RED APPLES,5,2/3/2011 11:28,0.85,16030.0,United Kingdom
541424,22335,HEART DECORATION PAINTED ZINC ,1,1/17/2011 17:57,1.25,,United Kingdom
572058,23146,TRIPLE HOOK ANTIQUE IVORY ROSE,1,10/20/2011 12:43,3.29,18252.0,United Kingdom
569824,21591,COSY HOUR CIGAR BOX MATCHES ,24,10/6/2011 12:22,1.25,17295.0,United Kingdom
562208,21792,CLASSIC FRENCH STYLE BASKET GREEN ,1,8/3/2011 12:58,3.95,16324.0,United Kingdom
575678,22897,OVEN MITT APPLES DESIGN,10,11/10/2011 15:23,1.45,16169.0,United Kingdom
551399,22703,PINK CAT BOWL,2,4/28/2011 13:17,2.1,17874.0,United Kingdom
C557520,21668,RED STRIPE CERAMIC DRAWER KNOB,-3,6/20/2011 17:18,1.25,15291.0,United Kingdom
577595,22633,HAND WARMER UNION JACK,1,11/20/2011 16:12,2.1,16399.0,United Kingdom
556879,21248,DOOR HANGER  MUM + DADS ROOM,1,6/15/2011 12:07,1.45,16461.0,United Kingdom
536525,22423,REGENCY CAKESTAND 3 TIER,2,12/1/2010 12:54,12.75,14078.0,United Kingdom
580512,20750,RED RETROSPOT MINI CASES,4,12/4/2011 13:55,7.95,12673.0,Germany
560281,22431,WATERING CAN BLUE ELEPHANT,1,7/17/2011 15:59,1.95,17984.0,United Kingdom
551197,22781,GUMBALL MAGAZINE RACK,1,4/27/2011 11:26,7.65,14078.0,United Kingdom
575217,90026C,GLASS BEAD HOOP NECKLACE GREEN,2,11/9/2011 11:10,8.5,14794.0,United Kingdom
540702,85059,FRENCH ENAMEL WATER BASIN,8,1/11/2011 9:58,1.25,13491.0,United Kingdom
549323,22432,WATERING CAN PINK BUNNY,6,4/8/2011 10:26,1.95,12999.0,United Kingdom
